ID,ENG
text_tutorial_intro_1,This is the background Warrior.
text_tutorial_intro_2,He will keep fighting even when you are not looking.
text_tutorial_intro_3,Defeat monsters to advance the stages.
text_tutorial_intro_4,"Once all the stages are cleared, a new map will be unlocked."
text_tutorial_intro_5,On the right side of the screen you will find various menus.
text_tutorial_intro_6,Click on the STATS icon to increase stats level.
text_tutorial_intro_7,"If you want to select a different job, click on the JOB icon."
text_tutorial_intro_8,You can find more informations about jobs in the HELP section of the SETTINGS menu.
text_tutorial_intro_9,Check your items using the INVENTORY icon.
text_tutorial_intro_10,Click on the QUESTS icon to check your progress and claim your rewards.
text_tutorial_intro_11,Spend Bits in the shop to purchase cards and jobs.
text_name_class_warrior,Warrior
text_name_class_miner,Miner
text_name_class_fisher,Fisher
text_name_class_farmer,Farmer
text_name_class_blacksmith,Blacksmith
text_name_warrior_stat_maxhp,Max Hp
text_name_warrior_stat_atk,Atk
text_name_warrior_stat_def,Def
text_name_warrior_stat_atkspd,Atk Spd
text_name_warrior_stat_critrate,Crit Rate
text_name_warrior_stat_critdmg,Crit Dmg
text_name_warrior_stat_luck,Luck
text_name_miner_stat_power,Power
text_name_miner_stat_smashspeed,Smash Speed
text_name_miner_stat_shockwave,Shockwave
text_name_miner_stat_luck,Luck
text_name_blacksmith_stat_craftspeed,Craft Speed
text_name_blacksmith_stat_efficiency,Efficiency
text_name_blacksmith_stat_luck,Luck
text_name_blacksmith_stat_metallurgy,Metallurgy
text_name_fisher_stat_calmness,Calmness
text_name_fisher_stat_reflex,Reflex
text_name_fisher_stat_knowledge,Knowledge
text_name_fisher_stat_luck,Luck
text_name_farmer_stat_greenthumb,Greenthumb
text_name_farmer_stat_agronomy,Agronomy
text_name_farmer_stat_kindness,Kindness
text_name_farmer_stat_luck,Luck
text_name_daymoment_morning,Morning
text_name_daymoment_afternoon,Afternoon
text_name_daymoment_evening,Evening
text_name_daymoment_night,Night
text_name_map0,Woods
text_name_map1,Cave
text_name_map2,Lakes
text_name_map3,Ruined Village
text_name_map4,Swamps
text_name_map5,Mountains
text_name_map6,Desert
text_name_map7,Sequoia Forest
text_name_map8,Shore
text_name_map9,Ruined City
text_name_card_rarity_common,Common
text_name_card_rarity_uncommon,Uncommon
text_name_card_rarity_rare,Rare
text_name_fish_rarity_riverfolk,Riverfolk
text_name_fish_rarity_deepwater,Deepwater
text_name_fish_rarity_tideborn,Tideborn
text_name_fish_rarity_ancient,Ancient
text_name_fish_rarity_mythic,Mythic
text_tooltip_panel_autobattle,"If this option is enabled, automatically advance to the next stage when all enemies are slayed, or retry the current stage in case of death"
text_tooltip_stat_warrior_maxhp,Increase Warrior max health
text_tooltip_stat_warrior_atk,Increase Warrior damage
text_tooltip_stat_warrior_def,Increase Warrior defense
text_tooltip_stat_warrior_atkspd,Increase Warrior attack speed
text_tooltip_stat_warrior_critrate,Increase Warrior critical rate
text_tooltip_stat_warrior_critdmg,Increase Warrior critical damage
text_tooltip_stat_warrior_luck,Increase Warrior critial rate AND chance of dropping cards from monsters
text_tooltip_stat_miner_power,Increase Miner damage to rocks
text_tooltip_stat_miner_smashspeed,Increase Miner smash speed
text_tooltip_stat_miner_shockwave,Increase Miner damage to nearby rocks
text_tooltip_stat_miner_luck,Increase Miner chance to drop loot from rocks
text_tooltip_stat_blacksmith_craftspeed,Increase Blacksmith crafting speed
text_tooltip_stat_blacksmith_efficiency,Increase Blacksmith chance to not consume materials when crafting
text_tooltip_stat_blacksmith_luck,Increase Blacksmith chance to craft extra materials
text_tooltip_stat_blacksmith_metallurgy,Increase by 1 the multiplier of extra materials crafted by the Blacksmith every 10 levels
text_tooltip_stat_fisher_calmness,Decrease Fisher waiting time for the next hook
text_tooltip_stat_fisher_reflex,Increase Fisher chance to catch the hooked fish
text_tooltip_stat_fisher_knowledge,Increase Fisher chance to hook a never caught fish
