ID,ENG
text_help_warrior,"""<align=""center"">Warrior<br>----------------------------</align><br>Defeat the enemies to advance through the stages. Warrior stats can be increased by doing other jobs too.<br><br>Enemies may drop collectable cards.<br>Exceeding cards can be dismantled into Bits, or convert 6 of them into a random one."""
text_help_miner,"<align=""center"">Miner<br>----------------------------</align><br>Break rocks to collect ores and upgrade your weapon's level to increase the damage dealt to enemies.<br>Rocks have a chance to drop at most one rarity higher than theirs, and not all rocks will drop ores."
text_help_fisher,"<align=""center"">Fisher<br>----------------------------</align><br>Catch all fishes of a group to unlock a bonus.<br>Extra fishes will be automatically converted into Bits.<br>Different fishes can be found at different times of the day, like morning, afternoon, and evening.<br>Changing job will interrupt the current fishing session and reset the timer of the hook."
text_help_blacksmith,"<align=""center"">Blacksmith<br>----------------------------</align><br>Refine ores into metals to upgrade your equipment level. They will increase the Warrior stats.<br>If there is not enough amount of the selected ore to refine, the Blacksmith will idle."
text_help_farmer,"<align=""center"">Farmer<br>----------------------------</align><br>Grow crops to attract wild creatures, and after they eat, there is a chance they become your companions.<br>A new seed will be unlocked every 5 level of the Agronomy stat.<br>Companions can be equipped to help the Warrior through the stages.<br><br>Extra befriended companions of the same species will be automatically converted into Bits.<br><br>Your companions may appear while farming and chill with you."
text_description_warrior,Description: Defeat the enemies to advance through the stages. Enemies may drop collectable cards
text_description_miner,Description: Collect ores to upgrade your weapon level. It will increase the damage dealt to enemies
text_description_blacksmith,Description: Refine ores into metals to upgrade your equipment level. They will increase the Warrior stats
text_description_fisher,Description: Fish into the lake and catch all fishes of a group to unlock a bonus
text_description_farmer_crops,"Description: Select crops to grow. Wild creatures will be attracted by them, after they eat, there is a chance they become your companions"
text_description_farmer_companions,"Companions will help you defeating monsters, equip up to 3 companions at the same time"
text_help_mage,"<align=""center"">Mage<br>----------------------------</align><br>The Mage learns spells to autocast them when advancing through the stages.<br><br>Spells can be equipped through slots.<br>Spell can be ranked up to increase their effectivness.<br>Every 5 levels of Scholar ability a new spell is unlocked, and every 5 levels of Proficiency ability a new slot to equip spells will be unlocked."
text_description_mage,Description: Learn spells to autocast while advancing through the stages
