ID,ENG
text_item_copperore_desc,Copper Ore
text_item_ironore_desc,Iron Ore
text_item_bronzeore_desc,Bronze Ore
text_item_silverore_desc,Silver Ore
text_item_goldore_desc,Gold Ore
text_item_copper_desc,Copper
text_item_iron_desc,Iron
text_item_bronze_desc,Bronze
text_item_silver_desc,Silver
text_item_gold_desc,Gold
text_item_card_01_desc,Weakest type of monster. They were almost annihilated.
text_item_card_02_desc,"A creature with complete lack of intelligence. 100 years ago, they were used as training creatures."
text_item_card_03_desc,Some say they were once humans.
text_item_card_04_desc,"Ferocious beasts, their body parts were used to make weapons."
text_item_card_05_desc,Apex predators among monsters. Their skin was used to make clothes.
text_item_card_06_desc,"Every time they die, they improve."
text_item_card_07_desc,"Slightly more intelligent than regular orcs. When they kill an enemy, they also steal their armor."
text_item_card_08_desc,It was hard to take down. One of the least monsters summoned by the mysterious spell.
text_item_card_09_desc,The most intelligent among orcs. They can lead hundreds of their kin.
text_item_card_10_desc,"One of the most feared on the battlefield, hard to kill and stronger than simple soldiers."
text_item_card_11_desc,A mysterious spell scattered around the continent. Some humans fell under its effects.
text_item_card_12_desc,"They used to heal monsters on the battlefield. 50 years later, humans became the minority."
text_item_card_13_desc,Creatures that came back. They were once human.
text_item_card_14_desc,"Once the most powerful soldiers. When wizards became corrupted, humans had to come up with a new plan."
text_item_card_15_desc,"The monsters started mutating, making the continent their new home."
text_item_card_16_desc,"Sometimes monsters acted strangely. No fighting, no screaming, nothing... as if they were trying to recollect their thoughts."
text_item_card_17_desc,"After several wins on the battlefield, Orc are crowned as kings."
text_item_card_18_desc,Mutated monsters. They absorbed so much magic during their lifespan to reach a higher evolution.
text_item_card_19_desc,"Just like any other day, he was on duty guarding the city walls, and relaxing. Not a single monster in sight. Suddenly, he felt an ominous energy spreading around. Shortly after, he was witnessing the biggest swarm of enemies he'd ever seen."
text_item_card_20_desc,"He knew something was about to happen, a gut feeling. He was ready. And as soon as the guards sounded the alarm, he rushed outside the city walls, a strategy formed in his mind."
text_item_card_21_desc,"Because of him, some very wrong decisions were made during the war. Blinded by the power he held, he fully supported an all-out war, certain that humans would prevail once again."
text_item_card_22_desc,"Thanks to him, humans lived longer than expected. But even though he put all his effort into it, the monsters kept advancing. Their numbers wouldn't decrease, it felt like fighting an infinite army."
text_item_card_23_desc,"He was there when the war started, but he would not live enough to see its end. In 60 years, he trained so many, and many of them died. Before retirement, there was a rumor that some kind of ancient spell was going to save them all."
text_item_card_24_desc,"Always on the frontline, he stood against all kinds of monsters, turning into a symbol for all the humans still fighting. Before the war, he was a prime adventurer who loved exploring different ruins every day. During one of those explorations, he recovered an ancient tome."
text_item_card_25_desc,"Magic had no secrets for him. He learned every language, even the most ancient ones, to expand his knowledge. During the war, he was recruited to decipher an old tome that was recovered from some ruins."
text_item_card_26_desc,"First-class researcher and alchemist, she was recruited to use an ancient spell that would have put an end to the war. Not trusting the tome, she refused to take part in it. Her memories were blurry. She used to wake up at night, remembering different outcomes of that war, and wrote all her notes in a diary."
text_item_card_27_desc,"He woke up with no memories, and now he doesn't know who he is. All he can do is fight, because of a voice echoing in his head. He doesn't want to fight, but he must, or else the voice won't stop."
text_item_card_28_desc,"No one knows who created them and why, but monsters keep crawling out of it. 100 years ago, some new circles spawned in different places."
text_item_card_29_desc,"The greatest sword ever created and companion of Titan. This sword proves the skills that humanity reached at its peak, even the strongest monster couldn't defend against it."
text_item_card_30_desc,The greatest scepter ever created and companion of Otto. This scepter shows the skills that humanity reached at its peak. A single spell could annihilate hundreds of monsters.
text_item_card_31_desc,"No author, the title is barely visible. History about peace, endless monsters, and a powerful spell. Only the strongest can handle it, and the more people use it, the faster are the effects."
text_item_card_32_desc,"""A human will be born, talented for all masteries. A curse upon them, a screaming voice telling them to fight. They will not die until the war is over""."
text_item_card_33_desc,"The alchemist Eris was having weird dreams; she started to take note of them. They won the war, they lost the war, there was never a war. Most of its pages were lost."
text_item_card_34_desc,Humans won for the 8th time.
