ID,ENG,LIMITS
text_enemy_slime_name,Slime,0
text_enemy_orc_name,Orc,0
text_enemy_skeleton_name,Skeleton,0
text_enemy_werewolf_name,Werewolf,0
text_enemy_werebear_name,Werebear,0
text_enemy_armoredskeleton_name,Armored Skeleton,0
text_enemy_greatswordskeleton_name,Greatsword Skeleton,0
text_enemy_skeletonarcher_name,Skeleton Archer,0
text_enemy_armoredorc_name,Armored Orc,0
text_enemy_eliteorc_name,Eilte Orc,0
text_enemy_orcrider_name,Orc Rider,0
text_enemy_slime_name_plural,Slimes,0
text_enemy_orc_name_plural,Orcs,0
text_enemy_skeleton_name_plural,Skeletons,0
text_enemy_werewolf_name_plural,Werewolves,0
text_enemy_werebear_name_plural,Werebears,0
text_enemy_armoredskeleton_name_plural,Armored Skeletons,0
text_enemy_greatswordskeleton_name_plural,Greatsword Skeletons,0
text_enemy_skeletonarcher_name_plural,Skeleton Archers,0
text_enemy_armoredorc_name_plural,Armored Orcs,0
text_enemy_eliteorc_name_plural,Eilte Orcs,0
text_enemy_orcrider_name_plural,Orc Riders,0
text_item_copperore_name,Copper ore,0
text_item_ironore_name,Iron ore,0
text_item_bronzeore_name,Bronze ore,0
text_item_silverore_name,Silver ore,0
text_item_goldore_name,Gold ore,0
text_item_copperore_name_plural,Copper ores,0
text_item_ironore_name_plural,Iron ores,0
text_item_bronzeore_name_plural,Bronze ores,0
text_item_silverore_name_plural,Silver ores,0
text_item_goldore_name_plural,Gold ores,0
text_item_copper_name,Copper,0
text_item_iron_name,Iron,0
text_item_bronze_name,Bronze,0
text_item_silver_name,Silver,0
text_item_gold_name,Gold,0
text_item_card_01_name,Slime,0
text_item_card_02_name,Orc,0
text_item_card_03_name,Skeleton,0
text_item_card_04_name,Werewolf,0
text_item_card_05_name,Werebear,0
text_item_card_06_name,Armored Skeleton,0
text_item_card_07_name,Armored Orc,0
text_item_card_08_name,Skeleton Archer,0
text_item_card_09_name,Elite Orc,0
text_item_card_10_name,Greatsword Skeleton,0
text_item_card_11_name,Armored Axeman,0
text_item_card_12_name,Corrupted Priest,0
text_item_card_13_name,Undead Soldier,0
text_item_card_14_name,Dark Wizard,0
text_item_card_15_name,Scorching Slime,0
text_item_card_16_name,Rampaging Skeleton,0
text_item_card_17_name,Orc King,0
text_item_card_18_name,Alpha Werewolf,0
text_item_card_19_name,"Mark, City Guard",0
text_item_card_20_name,"Terry, Captain of the Kingdom Knights",0
text_item_card_21_name,"Bartolomeo, King's Advisor",0
text_item_card_22_name,"Connor, Chief of Strategists",0
text_item_card_23_name,"Colt, Knights' Trainer",0
text_item_card_24_name,"Titan, S Rank Adventurer",0
text_item_card_25_name,"Otto, The Strongest Magician",0
text_item_card_26_name,"Eris, Alchemist",0
text_item_card_27_name,The Hero,0
text_item_card_28_name,Magic Circle,0
text_item_card_29_name,"Mormegil, Titan's Sword",0
text_item_card_30_name,"Lapis, Otto's Scepter",0
text_item_card_31_name,"Monster Stampede, ancient tome",0
text_item_card_32_name,Hero's Curse,0
text_item_card_33_name,Eris's Diary,0
text_item_card_34_name,Eris's Diary Page 1,0
text_item_card_35_name,Eris's Diary Page 2,0
text_item_card_36_name,Eris's Diary Page 3,0
text_item_card_37_name,Eris's Diary Page 4,0
text_item_card_38_name,Eris's Diary Page 5,0
text_item_card_39_name,Eris's Cards,0
text_item_card_40_name,Screaming Voice,0
text_item_fish_01_name,Progenetica,0
text_item_fish_02_name,Clownfish,0
text_item_fish_03_name,Blue Surgeonfish,0
text_item_fish_04_name,Somber Surgeonfish,0
text_item_fish_05_name,Gem Tang,0
text_item_fish_06_name,Sailfin Surgeonfish,0
text_item_fish_07_name,Angelfish,0
text_item_fish_08_name,Quenn Angelfish,0
text_item_fish_09_name,French Angelfish,0
text_item_fish_10_name,Goldfish,0
text_item_fish_11_name,Fighting Fish,0
text_item_fish_12_name,Catfish,0
text_item_fish_13_name,Blowfish,0
text_item_fish_14_name,Spotted Pufferfish,0
text_item_fish_15_name,Ocean Sunfish,0
text_item_fish_16_name,Dorado Dolphinfish,0
text_item_fish_17_name,Roule's Goby,0
text_item_fish_18_name,Red Piranha,0
text_item_fish_19_name,Lionfish,0
text_item_fish_20_name,Red Scorpionfish,0
text_item_fish_21_name,Stonefish,0
text_item_fish_22_name,Flying Fish,0
text_item_fish_23_name,Guppy,0
text_item_fish_24_name,Sailfin Molly,0
text_item_fish_25_name,Greater Weever,0
text_item_fish_26_name,Red Salmon,0
text_item_fish_27_name,Taimen,0
text_item_fish_28_name,Atlantic Salmon,0
text_item_fish_29_name,Japanese Trout,0
text_item_fish_30_name,Monkfish,0
text_item_fish_31_name,Humpback Anglerfish,0
text_item_fish_32_name,Hairy Frogfish,0
text_item_fish_33_name,European Carp,0
text_item_fish_34_name,Golden Tench,0
text_item_fish_35_name,Koi Carp,0
text_item_fish_36_name,Barracuda,0
text_item_fish_37_name,Cardinal Tetra,0
text_item_fish_38_name,Emperor Tetra,0
text_item_fish_39_name,Zebrafish,0
text_item_fish_40_name,Petticoat Tetra,0
text_item_fish_41_name,European Perch,0
text_item_fish_42_name,Starry Sturgeon,0
text_item_fish_43_name,Lake Sturgeon,0
text_item_fish_44_name,Striped Marlin,0
text_item_fish_45_name,Swordfish,0
text_item_fish_46_name,Garfish,0
text_item_fish_47_name,Sardine,0
text_item_fish_48_name,Atlantic Herring,0
text_item_fish_49_name,Blackspot Seabream,0
text_item_fish_50_name,Silver Seabream,0
text_item_fish_51_name,Atlantic Cod,0
text_item_fish_52_name,Hake,0
text_item_fish_53_name,Bluefin Tuna,0
