ID,ITA
text_enemy_slime_name,Slime
text_enemy_orc_name,Orco
text_enemy_skeleton_name,Scheletro
text_enemy_werewolf_name,Lupo mannaro
text_enemy_werebear_name,Orso mannaro
text_enemy_armoredskeleton_name,Armored Skeleton
text_enemy_greatswordskeleton_name,Greatsword Skeleton
text_enemy_skeletonarcher_name,Scheletro arciere
text_enemy_armoredorc_name,Armored Orc
text_enemy_eliteorc_name,Orco elite
text_enemy_orcrider_name,Orc Rider
text_item_copperore_name,Copper Ore
text_item_ironore_name,Iron Ore
text_item_bronzeore_name,Bronze Ore
text_item_silverore_name,Silver Ore
text_item_goldore_name,Gold Ore
text_item_copper_name,Copper
text_item_iron_name,Iron
text_item_bronze_name,Bronze
text_item_silver_name,Silver
text_item_gold_name,Gold
text_item_card_01_name,Slime
text_item_card_02_name,Orco
text_item_card_03_name,Scheletro
text_item_card_04_name,Lupo mannaro
text_item_card_05_name,Orso mannaro
text_item_card_06_name,Armored Skeleton
text_item_card_07_name,Armored Orc
text_item_card_08_name,Scheletro arciere
text_item_card_09_name,Orco elite
text_item_card_10_name,Greatsword Skeleton
text_item_card_11_name,Armored Axeman
text_item_card_12_name,Corrupted Priest
text_item_card_13_name,Undead Soldier
text_item_card_14_name,Dark Wizard
text_item_card_15_name,Scorching Slime
text_item_card_16_name,Rampaging Skeleton
text_item_card_17_name,Orc King
text_item_card_18_name,Alpha Werewolf
text_item_card_19_name,"Mark, City Guard"
text_item_card_20_name,"Terry, Captain of the Kingdom Knights"
text_item_card_21_name,"Bartolomeo, King's Advisor"
text_item_card_22_name,"Connor, Chief of Strategists"
text_item_card_23_name,"Colt, Knights' Trainer"
text_item_card_24_name,"Titan, S Rank Adventurer"
text_item_card_25_name,"Otto, The Strongest Magician"
text_item_card_26_name,"Eris, Alchemist"
text_item_card_27_name,The Hero
text_item_card_28_name,Magic Circle
text_item_card_29_name,"Mormegil, Titan's Sword"
text_item_card_30_name,"Lapis, Otto's Scepter"
text_item_card_31_name,"Monster Stampede, ancient tome"
text_item_card_32_name,Hero Curse
text_item_card_33_name,Eris's Diary
text_item_card_34_name,Eris's Diary Page 1
text_item_card_35_name,Eris's Diary Page 2
text_item_card_36_name,Eris's Diary Page 3
text_item_card_37_name,Eris's Diary Page 4
text_item_card_38_name,Eris's Diary Page 5
text_item_card_39_name,Eris's Cards
text_item_card_40_name,Screaming Voice
text_item_fish_01_name,Progenetica
text_item_fish_02_name,Pesce pagliaccio
text_item_fish_03_name,Pesce chirurgo blu
text_item_fish_04_name,Pesce chirurgo giallo
text_item_fish_05_name,Pesce chirurgo gemma
text_item_fish_06_name,Pesce chirurgo tigrato
text_item_fish_07_name,Pesce angelo
text_item_fish_08_name,Pesce angelo regina
text_item_fish_09_name,Pesce angelo francese
text_item_fish_10_name,Pesce rosso
text_item_fish_11_name,Pesce combattente
text_item_fish_12_name,Pesce gatto
text_item_fish_13_name,Pesce palla
text_item_fish_14_name,Pesce palla maculato
text_item_fish_15_name,Pesce luna
text_item_fish_16_name,Lambuga
text_item_fish_17_name,Ghiozzo di Roule
text_item_fish_18_name,Piranha rosso
text_item_fish_19_name,Pesce leone
text_item_fish_20_name,Scorfano rosso
text_item_fish_21_name,Pesce pietra
text_item_fish_22_name,Pesce volante
text_item_fish_23_name,Pesce milione
text_item_fish_24_name,Molly velifera
text_item_fish_25_name,Pesce ragno
text_item_fish_26_name,Salmone rosso
text_item_fish_27_name,Salmone siberiano
text_item_fish_28_name,Salmone atlantico
text_item_fish_29_name,Salmone giapponese
text_item_fish_30_name,Rana pescatrice
text_item_fish_31_name,Diavolo nero
text_item_fish_32_name,Pesce rana peloso
text_item_fish_33_name,Carpa
text_item_fish_34_name,Tinca
text_item_fish_35_name,Carpa koi
text_item_fish_36_name,Luccio di mare
text_item_fish_37_name,Pesce cardinale
text_item_fish_38_name,Tetra imperatore
text_item_fish_39_name,Pesce zebra
text_item_fish_40_name,Tetra nera
text_item_fish_41_name,Pesce persico
text_item_fish_42_name,Storione stellato
text_item_fish_43_name,Storione di lago
text_item_fish_44_name,Marlin striato
text_item_fish_45_name,Pesce spada
text_item_fish_46_name,Aguglia
text_item_fish_47_name,Sarda
text_item_fish_48_name,Aringa
text_item_fish_49_name,Pezzogna
text_item_fish_50_name,Orata
text_item_fish_51_name,Merluzzo atlantico
text_item_fish_52_name,Nasello
text_item_fish_53_name,Tonno rosso
text_item_fish_54_name,Luccio
text_item_fish_55_name,Barbo
text_item_fish_56_name,Barbo tigre
text_item_fish_57_name,Barbo ciliegia
text_item_fish_58_name,Pesce luna tropicale
text_item_fish_59_name,Discus blu
text_item_fish_60_name,Trota iridea
text_item_fish_61_name,Murena a nastro
text_item_fish_62_name,Murena gigante
text_item_fish_63_name,Grongo
text_item_fish_64_name,Seprente arlecchino
text_item_fish_65_name,Pesce remo
text_item_fish_66_name,Celacanto
text_item_fish_67_name,Luccio dal naso lungo
text_item_fish_68_name,Bichir sellato
text_item_fish_69_name,Bichir del Senegal
text_item_fish_70_name,Rombo
text_item_fish_71_name,Spigola
text_item_fish_72_name,Acciuga
text_item_fish_73_name,Pesce Napoleone
text_item_fish_74_name,Pastinaca
text_item_fish_75_name,Squalo mako pinna corta
text_item_fish_76_name,Lampreda di fiume
text_item_fish_77_name,Pesce farfalla procione
text_item_fish_78_name,Pesce trombetta
text_item_fish_79_name,Coda di lira
text_item_fish_80_name,Pesce freccia di fuoco
text_shopitem_cardpack01_name,Pacchetto di rame
text_shopitem_cardpack02_name,Pacchetto di ferro
text_shopitem_cardpack03_name,Pacchetto di bronzo
text_shopitem_cardpack04_name,Pacchetto d'argento
text_shopitem_cardpack05_name,Pacchetto d'oro
text_shopitem_job_farmer_name,Classe: Agricoltore
text_crop_0_name,Bamboo
text_crop_1_name,Lumberry
text_crop_2_name,Oramelon
text_crop_3_name,Pinnocchia
text_crop_4_name,Pommodoro
text_crop_5_name,Pumpky
text_companion_0_name,Ragghost
text_companion_1_name,Shemoon
text_companion_2_name,Wingoat
text_companion_3_name,Zompig
text_companion_4_name,Zuccow
